dep;semaine;sursaud_cl_age_corona;Nbre_pass_Corona;Nbre_pass_tot;Nbre_hospit_Corona;Nbre_acte_corona;Nbre_acte_tot
37;2020-S10;E;0;371;0;0;92
37;2020-S11;0;15;2260;9;4;1416
37;2020-S11;A;0;690;0;1;377
37;2020-S11;B;6;730;3;3;800
37;2020-S11;C;4;356;1;0;162
37;2020-S11;D;0;165;0;0;27
37;2020-S11;E;5;319;5;0;49
38;2020-S10;0;0;6005;0;0;1519
38;2020-S10;A;0;1366;0;0;332
38;2020-S10;B;0;2199;0;0;649
38;2020-S10;C;0;1118;0;0;279
38;2020-S10;D;0;466;0;0;71
38;2020-S10;E;0;856;0;0;188
38;2020-S11;0;9;5413;1;67;1518
38;2020-S11;A;0;1300;0;12;325
38;2020-S11;B;5;2052;0;39;727
38;2020-S11;C;4;988;1;12;243
38;2020-S11;D;0;394;0;2;65
38;2020-S11;E;0;679;0;2;158
39;2020-S10;0;7;1471;3;;
39;2020-S10;A;0;247;0;;
39;2020-S10;B;6;530;2;;
39;2020-S10;C;0;319;0;;
39;2020-S10;D;0;110;0;;
39;2020-S10;E;1;265;1;;
39;2020-S11;0;37;1178;11;;
39;2020-S11;A;1;169;0;;
39;2020-S11;B;15;455;3;;
39;2020-S11;C;16;263;5;;
39;2020-S11;D;1;99;0;;
39;2020-S11;E;4;192;3;;
40;2020-S10;0;4;1271;0;;
40;2020-S10;A;0;217;0;;
40;2020-S10;B;3;401;0;;
40;2020-S10;C;0;232;0;;
40;2020-S10;D;1;168;0;;
40;2020-S10;E;0;253;0;;
40;2020-S11;0;32;1251;7;;
40;2020-S11;A;2;200;0;;
40;2020-S11;B;14;411;1;;
40;2020-S11;C;11;237;2;;
40;2020-S11;D;1;131;0;;
40;2020-S11;E;4;272;4;;
41;2020-S10;0;0;1692;0;;
41;2020-S10;A;0;386;0;;
41;2020-S10;B;0;558;0;;
41;2020-S10;C;0;329;0;;
41;2020-S10;D;0;133;0;;
41;2020-S10;E;0;285;0;;
41;2020-S11;0;1;1449;0;;
41;2020-S11;A;0;301;0;;
41;2020-S11;B;0;525;0;;
41;2020-S11;C;1;288;0;;
41;2020-S11;D;0;106;0;;
41;2020-S11;E;0;229;0;;
42;2020-S10;0;0;4857;0;0;1121
42;2020-S10;A;0;970;0;0;284
42;2020-S10;B;0;1847;0;0;416
42;2020-S10;C;0;937;0;0;183
42;2020-S10;D;0;408;0;0;71
42;2020-S10;E;0;695;0;0;167
42;2020-S11;0;10;4379;4;22;1053
42;2020-S11;A;2;835;0;5;291
42;2020-S11;B;5;1722;1;12;436
42;2020-S11;C;0;848;0;5;141
42;2020-S11;D;2;382;2;0;50
42;2020-S11;E;1;592;1;0;135
43;2020-S10;0;0;187;0;;
43;2020-S10;A;0;25;0;;
43;2020-S10;B;0;70;0;;
43;2020-S10;C;0;39;0;;
43;2020-S10;D;0;23;0;;
43;2020-S10;E;0;30;0;;
43;2020-S11;0;0;185;0;;
43;2020-S11;A;0;26;0;;
43;2020-S11;B;0;56;0;;
43;2020-S11;C;0;43;0;;
43;2020-S11;D;0;16;0;;
43;2020-S11;E;0;44;0;;
44;2020-S10;0;89;3640;1;4;4094
44;2020-S10;A;14;772;0;0;1143
44;2020-S10;B;49;1419;0;0;1709
44;2020-S10;C;21;670;0;2;577
44;2020-S10;D;3;289;0;1;203
44;2020-S10;E;2;486;1;1;454
44;2020-S11;0;149;3532;5;89;4247
44;2020-S11;A;9;774;0;15;1185
44;2020-S11;B;101;1336;1;52;1804
44;2020-S11;C;32;695;2;16;619
44;2020-S11;D;4;280;0;4;200
44;2020-S11;E;3;446;2;2;429
45;2020-S10;0;1;2810;1;0;403
45;2020-S10;A;0;679;0;0;79
45;2020-S10;B;1;1093;1;0;204
45;2020-S10;C;0;449;0;0;63
45;2020-S10;D;0;219;0;0;14
45;2020-S10;E;0;370;0;0;41
45;2020-S11;0;1;2474;0;7;436
45;2020-S11;A;0;679;0;0;73
45;2020-S11;B;1;888;0;6;250
45;2020-S11;C;0;421;0;0;47
45;2020-S11;D;0;165;0;0;16
45;2020-S11;E;0;321;0;1;44
46;2020-S10;0;0;726;0;;
46;2020-S10;A;0;140;0;;
46;2020-S10;B;0;227;0;;
46;2020-S10;C;0;135;0;;
46;2020-S10;D;0;84;0;;
46;2020-S10;E;0;140;0;;
46;2020-S11;0;0;775;0;;
46;2020-S11;A;0;154;0;;
46;2020-S11;B;0;251;0;;
46;2020-S11;C;0;142;0;;
46;2020-S11;D;0;100;0;;
46;2020-S11;E;0;128;0;;
47;2020-S10;0;48;1570;4;;
47;2020-S10;A;5;230;0;;
47;2020-S10;B;18;559;1;;
47;2020-S10;C;17;303;2;;
47;2020-S10;D;6;141;0;;
47;2020-S10;E;2;337;1;;
47;2020-S11;0;206;1708;9;;
47;2020-S11;A;42;296;0;;
47;2020-S11;B;100;640;1;;
47;2020-S11;C;47;331;1;;
47;2020-S11;D;7;136;2;;
47;2020-S11;E;10;305;5;;
48;2020-S10;0;0;257;0;;
48;2020-S10;A;0;49;0;;
48;2020-S10;B;0;103;0;;
48;2020-S10;C;0;42;0;;
48;2020-S10;D;0;23;0;;
48;2020-S10;E;0;40;0;;
48;2020-S11;0;5;213;3;;
48;2020-S11;A;0;40;0;;
48;2020-S11;B;2;69;0;;
48;2020-S11;C;1;45;1;;
48;2020-S11;D;1;22;1;;
48;2020-S11;E;1;37;1;;
49;2020-S10;0;29;2794;10;;
49;2020-S10;A;0;648;0;;
49;2020-S10;B;13;1118;2;;
49;2020-S10;C;8;430;2;;
49;2020-S10;D;4;189;3;;
49;2020-S10;E;4;409;3;;
49;2020-S11;0;51;2579;16;;
49;2020-S11;A;2;664;0;;
